You have 85 points.

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:36:46   258      0   00:37:19   241      0
 24   22:34:57  1006      0   22:38:15   978      0
 23       >24h  1603      0       >24h  1593      0
 22       >24h  1194      0       >24h  1134      0
 21       >24h  1836      0       >24h  1773      0
 20       >24h  2110      0       >24h  1966      0
 19       >24h  1998      0       >24h  1324      0
 18       >24h  2657      0       >24h  2617      0
 17       >24h  2907      0       >24h  2847      0
 16       >24h  3274      0       >24h  3086      0
 15       >24h  2968      0       >24h  2929      0
 14       >24h  3915      0       >24h  3566      0
 13       >24h  3550      0       >24h  3500      0
 12       >24h  4496      0       >24h  3782      0
 11       >24h  4416      0       >24h  4351      0
 10   00:08:11    57     44   00:09:34    60     41
  9   12:02:43  1394      0   12:03:54  1348      0
  8   07:17:16  1144      0   07:23:46  1024      0
  7       >24h  2287      0       >24h  2216      0
  6   06:29:30   972      0   06:38:10   922      0
  5   06:29:39  1120      0   06:39:40   862      0
  4   10:40:39  2516      0   10:54:57  2424      0
  3       >24h  4819      0       >24h  4413      0
  2       >24h  6849      0       >24h  6057      0
  1       >24h  6681      0       >24h  6973      0
