      -------Part 1--------   --------Part 2--------
Day       Time  Rank  Score       Time   Rank  Score
 25   00:35:06  2488      0   00:35:38   2062      0
 24   01:31:13  3508      0   03:47:02   4310      0
 23   00:36:59  1405      0   01:52:58   1339      0
 22   00:12:47  1636      0   00:35:04    620      0
 21   00:38:24  1519      0   00:55:35   1747      0
 20   00:58:24  1377      0   04:35:06   1379      0
 19   01:07:31  2051      0   01:29:07   1194      0
 18   00:38:03  2008      0   01:16:50   2506      0
 17   01:08:23  2976      0   01:29:52   3135      0
 16   00:27:08  3120      0   00:56:28   1651      0
 15   00:38:14  4246      0   00:45:01   3124      0
 14   00:36:38  3439      0   01:19:38   3328      0
 13   00:09:32  1583      0   04:30:11   5909      0
 12   00:33:39  4604      0   01:00:07   3926      0
 11   00:28:02  2073      0   01:01:27   2948      0
 10   00:13:47  3872      0   15:07:43  24905      0
  9   00:24:55  6052      0   00:33:03   4561      0
  8   00:09:39  2131      0   00:29:08   2993      0
  7   00:22:49  1500      0   00:37:49   1591      0
  6   00:13:16  4936      0   00:20:12   3712      0
  5   00:45:04  7160      0   00:51:00   6304      0
  4   00:18:01  3553      0   00:45:59   2885      0
  3   00:21:19  5052      0   00:25:33   4042      0
  2   00:12:16  2815      0   00:15:45   2211      0
  1   00:12:47  2338      0   00:14:41   2055      0
